EconState,XPState,TowerState,DragonState,VisionState,FightState,Action,Q_Value,IsBestAction
Econ_Behind,XP_Behind,TowerEven,DragonBehind,MedVision,LosingFight,Safe_Farm,3.5539474487304688,True
Econ_Behind,XP_Behind,TowerEven,DragonBehind,MedVision,LosingFight,Dragon_Control,3.104196786880493,False
Econ_Behind,XP_Behind,TowerEven,DragonBehind,MedVision,LosingFight,Vision_Control,3.486698865890503,False
Econ_Behind,XP_Behind,TowerEven,DragonBehind,MedVision,LosingFight,Group_Attack,3.4267561435699463,False
Econ_Behind,XP_Behind,TowerEven,DragonBehind,MedVision,LosingFight,Baron_Control,3.0546395778656006,False
Econ_Ahead,XP_Even,TowerEven,DragonAhead,HighVision,EvenFight,Tower_Push,4.142343521118164,False
Econ_Ahead,XP_Even,TowerEven,DragonAhead,HighVision,EvenFight,Safe_Farm,4.423203945159912,False
Econ_Ahead,XP_Even,TowerEven,DragonAhead,HighVision,EvenFight,Dragon_Control,4.5126566886901855,False
Econ_Ahead,XP_Even,TowerEven,DragonAhead,HighVision,EvenFight,Vision_Control,4.454952716827393,False
Econ_Ahead,XP_Even,TowerEven,DragonAhead,HighVision,EvenFight,Group_Attack,4.466273784637451,False
Econ_Ahead,XP_Even,TowerEven,DragonAhead,HighVision,EvenFight,Baron_Control,4.517841339111328,True
Econ_Ahead,XP_Dominating,TowerEven,DragonBehind,MedVision,WinningFight,Tower_Push,4.555953025817871,False
Econ_Ahead,XP_Dominating,TowerEven,DragonBehind,MedVision,WinningFight,Safe_Farm,4.517011642456055,False
Econ_Ahead,XP_Dominating,TowerEven,DragonBehind,MedVision,WinningFight,Dragon_Control,4.107589244842529,False
Econ_Ahead,XP_Dominating,TowerEven,DragonBehind,MedVision,WinningFight,Vision_Control,4.381471633911133,False
Econ_Ahead,XP_Dominating,TowerEven,DragonBehind,MedVision,WinningFight,Group_Attack,5.019376277923584,True
Econ_Ahead,XP_Dominating,TowerEven,DragonBehind,MedVision,WinningFight,Baron_Control,4.451993465423584,False
Econ_HardBehind,XP_HardBehind,TowerEven,DragonAhead,MedVision,LosingFight,Tower_Push,3.268622875213623,False
Econ_HardBehind,XP_HardBehind,TowerEven,DragonAhead,MedVision,LosingFight,Safe_Farm,3.2600185871124268,False
Econ_HardBehind,XP_HardBehind,TowerEven,DragonAhead,MedVision,LosingFight,Dragon_Control,3.635253667831421,True
Econ_HardBehind,XP_HardBehind,TowerEven,DragonAhead,MedVision,LosingFight,Vision_Control,3.0924649238586426,False
Econ_HardBehind,XP_HardBehind,TowerEven,DragonAhead,MedVision,LosingFight,Group_Attack,2.9974334239959717,False
